Age	Interval	Death_Rate	q	Person_Years	Life_Exp	Sex
0	1	0.00973104	0.00964934	99160.384	77.3924	Both
1	4	5.3322e-4	0.00213031	395663.827	77.1452	Both
5	5	2.7072e-4	0.00135262	493767.035	73.3061	Both
10	5	3.3901e-4	0.00169376	493083.05	68.4022	Both
15	5	8.267e-4	0.00412608	491733.768	63.5136	Both
20	5	0.00131318	0.00654495	489019.595	58.765	Both
25	5	0.00144506	0.00719956	485635.405	54.1352	Both
30	5	0.00157548	0.007847	481995.269	49.5095	Both
35	5	0.00181446	0.00903245	477958.634	44.881	Both
40	5	0.00228275	0.01135166	473143.475	40.2667	Both
45	5	0.00306887	0.015233	466917.405	35.6991	Both
50	5	0.00437838	0.0216696	458463.012	31.2108	Both
55	5	0.00692569	0.03407862	445934.728	26.8433	Both
60	5	0.01025409	0.05004437	427220.461	22.6961	Both
65	5	0.01486561	0.07182072	401757.769	18.7542	Both
70	5	0.02328842	0.11029945	365563.339	15.0002	Both
75	5	0.03662368	0.16877329	316457.078	11.5365	Both
80	5	0.07614842	0.32222895	241544.013	8.3349	Both
85	5	0.1253689	0.47364167	146162.414	6.0541	Both
90	5	0.20015053	0.64849618	65979.313	4.3242	Both
95	5	0.3038257	0.7997153	18840.745	3.0844	Both
100	-1	0.442889410514195	1	3236.918	2.2579	Both
