Age	Interval	Death_Rate	q	Person_Years	Life_Exp	Sex
0	1	0.0733287	0.06946855	94735.827	54.4623	Both
1	4	0.00950529	0.03729645	365118.158	57.5101	Both
5	5	0.00691375	0.03391785	439479.151	55.6624	Both
10	5	0.00370031	0.01832432	428575.573	52.5385	Both
15	5	0.00449102	0.02222149	420371.926	48.4747	Both
20	5	0.00586648	0.02891499	409441.567	44.5159	Both
25	5	0.00647006	0.03184049	396985.708	40.7658	Both
30	5	0.00716285	0.03519095	383703.045	37.0234	Both
35	5	0.00811189	0.03976778	369403.432	33.2817	Both
40	5	0.0094879	0.04635539	353506.963	29.5546	Both
45	5	0.01100834	0.05360151	335977.283	25.868	Both
50	5	0.0143039	0.06912981	315601.828	22.1881	Both
55	5	0.0190002	0.09084234	290634.977	18.644	Both
60	5	0.02779578	0.130318	259108.958	15.2481	Both
65	5	0.04208522	0.19104252	218181.473	12.142	Both
70	5	0.06568508	0.28282991	167417.846	9.398	Both
75	5	0.10138909	0.4036018	111001.069	7.1003	Both
80	5	0.15702877	0.55441489	58716.108	5.2307	Both
85	5	0.23463332	0.70725003	22336.523	3.8152	Both
90	5	0.35010681	0.84476377	5234.363	2.736	Both
95	5	0.47210925	0.9203248	656.479	2.0812	Both
100	-1	0.604302634759488	1	44.4	1.6548	Both
