Age	Interval	Death_Rate	q	Person_Years	Life_Exp	Sex
0	1	0.00371515	0.00370334	99682.208	81.3015	Both
1	4	1.3461e-4	5.3824e-4	398379.859	80.6032	Both
5	5	6.163e-5	3.0807e-4	497793.039	76.6458	Both
10	5	8.2e-5	4.0991e-4	497635.997	71.6688	Both
15	5	2.1239e-4	0.00106151	497308.462	66.6971	Both
20	5	3.9014e-4	0.00194883	496523.216	61.7648	Both
25	5	5.0322e-4	0.00251309	495434.669	56.8804	Both
30	5	6.9688e-4	0.00347861	493960.906	52.017	Both
35	5	0.0010412	0.00519329	491856.428	47.1895	Both
40	5	0.00150953	0.00752122	488780.71	42.422	Both
45	5	0.00242849	0.01207276	484015.64	37.7232	Both
50	5	0.00342429	0.0169824	477025.788	33.1521	Both
55	5	0.00499725	0.02469749	467300.723	28.6798	Both
60	5	0.00771742	0.03790047	452883.113	24.3387	Both
65	5	0.01164046	0.05665643	431830.235	20.193	Both
70	5	0.01894698	0.09070566	400680.58	16.2462	Both
75	5	0.03141258	0.14633065	354519.34	12.6019	Both
80	5	0.05747353	0.25293341	285914.582	9.3052	Both
85	5	0.10477374	0.41624637	192821.428	6.5648	Both
90	5	0.18813737	0.62724869	94460.789	4.4403	Both
95	5	0.31456495	0.81597058	27394.932	2.9679	Both
100	-1	0.492150204242335	1	3949.129	2.0319	Both
