country	iso3	cycle	age_mid	bg_rate	residual_le
Nigeria	NGA	1	31	0.007352658	36.27506
Nigeria	NGA	2	33	0.007732274	34.77838
Nigeria	NGA	3	35	0.00811189	33.2817
Nigeria	NGA	4	37	0.008662294000000001	31.790860000000002
Nigeria	NGA	5	39	0.009212698	30.30002
Ecuador	ECU	1	31	0.0016232759999999999	48.583800000000004
Ecuador	ECU	2	33	0.001718868	46.7324
Ecuador	ECU	3	35	0.00181446	44.881
Ecuador	ECU	4	37	0.002001776	43.03528
Ecuador	ECU	5	39	0.002189092	41.18956
UK	GBR	1	31	7.65744e-4	51.051500000000004
UK	GBR	2	33	9.03472e-4	49.1205
UK	GBR	3	35	0.0010412	47.1895
UK	GBR	4	37	0.001228532	45.2825
UK	GBR	5	39	0.001415864	43.375499999999995
