iso3	year	age	n	mx	qx	Lx	ex
NGA	2023	0	1	0.0733287	0.06946855	94735.827	54.4623
NGA	2023	1	4	0.00950529	0.03729645	365118.158	57.5101
NGA	2023	5	5	0.00691375	0.03391785	439479.151	55.6624
NGA	2023	10	5	0.00370031	0.01832432	428575.573	52.5385
NGA	2023	15	5	0.00449102	0.02222149	420371.926	48.4747
NGA	2023	20	5	0.00586648	0.02891499	409441.567	44.5159
NGA	2023	25	5	0.00647006	0.03184049	396985.708	40.7658
NGA	2023	30	5	0.00716285	0.03519095	383703.045	37.0234
NGA	2023	35	5	0.00811189	0.03976778	369403.432	33.2817
NGA	2023	40	5	0.0094879	0.04635539	353506.963	29.5546
NGA	2023	45	5	0.01100834	0.05360151	335977.283	25.868
NGA	2023	50	5	0.0143039	0.06912981	315601.828	22.1881
NGA	2023	55	5	0.0190002	0.09084234	290634.977	18.644
NGA	2023	60	5	0.02779578	0.130318	259108.958	15.2481
NGA	2023	65	5	0.04208522	0.19104252	218181.473	12.142
NGA	2023	70	5	0.06568508	0.28282991	167417.846	9.398
NGA	2023	75	5	0.10138909	0.4036018	111001.069	7.1003
NGA	2023	80	5	0.15702877	0.55441489	58716.108	5.2307
NGA	2023	85	5	0.23463332	0.70725003	22336.523	3.8152
NGA	2023	90	5	0.35010681	0.84476377	5234.363	2.736
NGA	2023	95	5	0.47210925	0.9203248	656.479	2.0812
NGA	2023	100	-1	0.604302634759488	1	44.4	1.6548
GBR	2023	0	1	0.00371515	0.00370334	99682.208	81.3015
GBR	2023	1	4	1.3461e-4	5.3824e-4	398379.859	80.6032
GBR	2023	5	5	6.163e-5	3.0807e-4	497793.039	76.6458
GBR	2023	10	5	8.2e-5	4.0991e-4	497635.997	71.6688
GBR	2023	15	5	2.1239e-4	0.00106151	497308.462	66.6971
GBR	2023	20	5	3.9014e-4	0.00194883	496523.216	61.7648
GBR	2023	25	5	5.0322e-4	0.00251309	495434.669	56.8804
GBR	2023	30	5	6.9688e-4	0.00347861	493960.906	52.017
GBR	2023	35	5	0.0010412	0.00519329	491856.428	47.1895
GBR	2023	40	5	0.00150953	0.00752122	488780.71	42.422
GBR	2023	45	5	0.00242849	0.01207276	484015.64	37.7232
GBR	2023	50	5	0.00342429	0.0169824	477025.788	33.1521
GBR	2023	55	5	0.00499725	0.02469749	467300.723	28.6798
GBR	2023	60	5	0.00771742	0.03790047	452883.113	24.3387
GBR	2023	65	5	0.01164046	0.05665643	431830.235	20.193
GBR	2023	70	5	0.01894698	0.09070566	400680.58	16.2462
GBR	2023	75	5	0.03141258	0.14633065	354519.34	12.6019
GBR	2023	80	5	0.05747353	0.25293341	285914.582	9.3052
GBR	2023	85	5	0.10477374	0.41624637	192821.428	6.5648
GBR	2023	90	5	0.18813737	0.62724869	94460.789	4.4403
GBR	2023	95	5	0.31456495	0.81597058	27394.932	2.9679
GBR	2023	100	-1	0.492150204242335	1	3949.129	2.0319
ECU	2023	0	1	0.00973104	0.00964934	99160.384	77.3924
ECU	2023	1	4	5.3322e-4	0.00213031	395663.827	77.1452
ECU	2023	5	5	2.7072e-4	0.00135262	493767.035	73.3061
ECU	2023	10	5	3.3901e-4	0.00169376	493083.05	68.4022
ECU	2023	15	5	8.267e-4	0.00412608	491733.768	63.5136
ECU	2023	20	5	0.00131318	0.00654495	489019.595	58.765
ECU	2023	25	5	0.00144506	0.00719956	485635.405	54.1352
ECU	2023	30	5	0.00157548	0.007847	481995.269	49.5095
ECU	2023	35	5	0.00181446	0.00903245	477958.634	44.881
ECU	2023	40	5	0.00228275	0.01135166	473143.475	40.2667
ECU	2023	45	5	0.00306887	0.015233	466917.405	35.6991
ECU	2023	50	5	0.00437838	0.0216696	458463.012	31.2108
ECU	2023	55	5	0.00692569	0.03407862	445934.728	26.8433
ECU	2023	60	5	0.01025409	0.05004437	427220.461	22.6961
ECU	2023	65	5	0.01486561	0.07182072	401757.769	18.7542
ECU	2023	70	5	0.02328842	0.11029945	365563.339	15.0002
ECU	2023	75	5	0.03662368	0.16877329	316457.078	11.5365
ECU	2023	80	5	0.07614842	0.32222895	241544.013	8.3349
ECU	2023	85	5	0.1253689	0.47364167	146162.414	6.0541
ECU	2023	90	5	0.20015053	0.64849618	65979.313	4.3242
ECU	2023	95	5	0.3038257	0.7997153	18840.745	3.0844
ECU	2023	100	-1	0.442889410514195	1	3236.918	2.2579
