country	wtp_ratio	p_ce
Ecuador	0	0
Ecuador	0.1	0.119
Ecuador	0.2	0.912
Ecuador	0.30000000000000004	0.996
Ecuador	0.4	0.999
Ecuador	0.5	1
Ecuador	0.6000000000000001	1
Ecuador	0.7000000000000001	1
Ecuador	0.8	1
Ecuador	0.9	1
Ecuador	1	1
Ecuador	1.1	1
Ecuador	1.2000000000000002	1
Ecuador	1.3	1
Ecuador	1.4000000000000001	1
Ecuador	1.5	1
Ecuador	1.6	1
Ecuador	1.7000000000000002	1
Ecuador	1.8	1
Ecuador	1.9000000000000001	1
Ecuador	2	1
Ecuador	2.1	1
Ecuador	2.2	1
Ecuador	2.3000000000000003	1
Ecuador	2.4000000000000004	1
Ecuador	2.5	1
Ecuador	2.6	1
Ecuador	2.7	1
Ecuador	2.8000000000000003	1
Ecuador	2.9000000000000004	1
Ecuador	3	1
Nigeria	0	0
Nigeria	0.1	0
Nigeria	0.2	0
Nigeria	0.30000000000000004	0.023
Nigeria	0.4	0.239
Nigeria	0.5	0.538
Nigeria	0.6000000000000001	0.736
Nigeria	0.7000000000000001	0.853
Nigeria	0.8	0.915
Nigeria	0.9	0.952
Nigeria	1	0.968
Nigeria	1.1	0.979
Nigeria	1.2000000000000002	0.985
Nigeria	1.3	0.991
Nigeria	1.4000000000000001	0.994
Nigeria	1.5	0.996
Nigeria	1.6	0.996
Nigeria	1.7000000000000002	0.997
Nigeria	1.8	0.997
Nigeria	1.9000000000000001	0.999
Nigeria	2	0.999
Nigeria	2.1	0.999
Nigeria	2.2	1
Nigeria	2.3000000000000003	1
Nigeria	2.4000000000000004	1
Nigeria	2.5	1
Nigeria	2.6	1
Nigeria	2.7	1
Nigeria	2.8000000000000003	1
Nigeria	2.9000000000000004	1
Nigeria	3	1
UK	0	0
UK	0.1	0.211
UK	0.2	0.971
UK	0.30000000000000004	0.999
UK	0.4	1
UK	0.5	1
UK	0.6000000000000001	1
UK	0.7000000000000001	1
UK	0.8	1
UK	0.9	1
UK	1	1
UK	1.1	1
UK	1.2000000000000002	1
UK	1.3	1
UK	1.4000000000000001	1
UK	1.5	1
UK	1.6	1
UK	1.7000000000000002	1
UK	1.8	1
UK	1.9000000000000001	1
UK	2	1
UK	2.1	1
UK	2.2	1
UK	2.3000000000000003	1
UK	2.4000000000000004	1
UK	2.5	1
UK	2.6	1
UK	2.7	1
UK	2.8000000000000003	1
UK	2.9000000000000004	1
UK	3	1
