country	setting	severity	gap	quantity	n_draws	estimate	mc_se	mc_lo	mc_hi
Ecuador	LMIC	less_severe	0.2	daly_averted	1000	0.7223478893456764	0.008876618597680897	0.7049497168942218	0.739746061797131
Ecuador	LMIC	less_severe	0.2	incr_cost	1000	1608.7305448975308	5.85034743747061	1597.2638639200884	1620.1972258749731
Ecuador	LMIC	less_severe	0.2	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	less_severe	0.2	p_ce_1x	1000	0.944	0.007270763371201131	0.9279763237468875	0.9566253903083978
Ecuador	LMIC	less_severe	0.2	p_ce_3x	1000	0.992	0.0028170906978654425	0.9842934787948114	0.9959408529961804
Ecuador	LMIC	less_severe	0.2	p_ce_oc	1000	0.773	0.013246546719805883	0.746020700386552	0.797889812985279
Ecuador	LMIC	less_severe	0.30000000000000004	daly_averted	1000	0.6019565744547305	0.007397182164734076	0.5874580974118517	0.6164550514976093
Ecuador	LMIC	less_severe	0.30000000000000004	incr_cost	1000	1340.6087874146087	4.875289531225506	1331.0532199334068	1350.1643548958107
Ecuador	LMIC	less_severe	0.30000000000000004	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	less_severe	0.30000000000000004	p_ce_1x	1000	0.944	0.007270763371201131	0.9279763237468875	0.9566253903083978
Ecuador	LMIC	less_severe	0.30000000000000004	p_ce_3x	1000	0.992	0.0028170906978654425	0.9842934787948114	0.9959408529961804
Ecuador	LMIC	less_severe	0.30000000000000004	p_ce_oc	1000	0.773	0.013246546719805883	0.746020700386552	0.797889812985279
Ecuador	LMIC	less_severe	0.4	daly_averted	1000	0.4815652595637845	0.005917745731787268	0.46996647792948143	0.49316404119808754
Ecuador	LMIC	less_severe	0.4	incr_cost	1000	1072.4870299316872	3.900231624980411	1064.8425759467257	1080.1314839166487
Ecuador	LMIC	less_severe	0.4	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	less_severe	0.4	p_ce_1x	1000	0.944	0.007270763371201131	0.9279763237468875	0.9566253903083978
Ecuador	LMIC	less_severe	0.4	p_ce_3x	1000	0.992	0.0028170906978654425	0.9842934787948114	0.9959408529961804
Ecuador	LMIC	less_severe	0.4	p_ce_oc	1000	0.773	0.013246546719805883	0.746020700386552	0.797889812985279
Ecuador	LMIC	less_severe	0.5	daly_averted	1000	0.36117394467283837	0.004438309298840448	0.3524748584471111	0.36987303089856566
Ecuador	LMIC	less_severe	0.5	incr_cost	1000	804.3652724487654	2.925173718735305	798.6319319600442	810.0986129374866
Ecuador	LMIC	less_severe	0.5	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	less_severe	0.5	p_ce_1x	1000	0.944	0.007270763371201131	0.9279763237468875	0.9566253903083978
Ecuador	LMIC	less_severe	0.5	p_ce_3x	1000	0.992	0.0028170906978654425	0.9842934787948114	0.9959408529961804
Ecuador	LMIC	less_severe	0.5	p_ce_oc	1000	0.773	0.013246546719805883	0.746020700386552	0.797889812985279
Ecuador	LMIC	less_severe	0.6000000000000001	daly_averted	1000	0.24078262978189213	0.0029588728658936332	0.2349832389647406	0.24658202059904366
Ecuador	LMIC	less_severe	0.6000000000000001	incr_cost	1000	536.2435149658434	1.950115812490205	532.4212879733626	540.0657419583241
Ecuador	LMIC	less_severe	0.6000000000000001	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	less_severe	0.6000000000000001	p_ce_1x	1000	0.944	0.007270763371201131	0.9279763237468875	0.9566253903083978
Ecuador	LMIC	less_severe	0.6000000000000001	p_ce_3x	1000	0.992	0.0028170906978654425	0.9842934787948114	0.9959408529961804
Ecuador	LMIC	less_severe	0.6000000000000001	p_ce_oc	1000	0.773	0.013246546719805883	0.746020700386552	0.797889812985279
Ecuador	LMIC	less_severe	0.7	daly_averted	1000	0.1203913148909462	0.0014794364329468177	0.11749161948237044	0.12329101029952197
Ecuador	LMIC	less_severe	0.7	incr_cost	1000	268.12175748292196	0.9750579062451036	266.2106439866816	270.03287097916234
Ecuador	LMIC	less_severe	0.7	p_benefit	1000	1	0	0.9961731014136095	1
Ecuador	LMIC	less_severe	0.7	p_ce_1x	1000	0.944	0.007270763371201131	0.9279763237468875	0.9566253903083978
Ecuador	LMIC	less_severe	0.7	p_ce_3x	1000	0.992	0.0028170906978654425	0.9842934787948114	0.9959408529961804
Ecuador	LMIC	less_severe	0.7	p_ce_oc	1000	0.773	0.013246546719805883	0.746020700386552	0.797889812985279
Ecuador	LMIC	less_severe	0.8	daly_averted	1000	0	0	0	0
Ecuador	LMIC	less_severe	0.8	incr_cost	1000	0	0	0	0
Ecuador	LMIC	less_severe	0.8	p_benefit	1000	0	0	0	0.0038268985863905225
Ecuador	LMIC	less_severe	0.8	p_ce_1x	1000	0	0	0	0.0038268985863905225
