country	cycle	age_mid	state	smr	bg_rate	p_death_annual	p_death_cycle	residual_le
Ecuador	1	31	Untreated	6.3	0.00162327599999999	0.010174524531986862	0.020245528114521627	48.5838
Ecuador	1	31	Treated	2.54	0.00162327599999999	0.004114632646676442	0.008212335091535738	48.5838
Ecuador	1	31	Controlled	0.95	0.00162327599999999	0.001540923755964485	0.003079473065907279	48.5838
Ecuador	1	31	Remission	0.95	0.00162327599999999	0.001540923755964485	0.003079473065907279	48.5838
Ecuador	2	33	Untreated	6.3	0.001718868	0.010770447272980044	0.021424892011499996	46.7324
Ecuador	2	33	Treated	2.54	0.001718868	0.004356407925576455	0.00869383756113895	46.7324
Ecuador	2	33	Controlled	0.95	0.001718868	0.0016315921040125358	0.0032605221152312014	46.7324
Ecuador	2	33	Remission	0.95	0.001718868	0.0016315921040125358	0.0032605221152312014	46.7324
Ecuador	3	35	Untreated	6.3	0.00181446	0.011366011239702267	0.022602836267903603	44.881
Ecuador	3	35	Treated	2.54	0.00181446	0.004598124507675272	0.00917510626636242	44.881
Ecuador	3	35	Controlled	0.95	0.00181446	0.0017222522186240985	0.0034415382845437437	44.881
Ecuador	3	35	Remission	0.95	0.00181446	0.0017222522186240985	0.0034415382845437437	44.881
Ecuador	4	37	Untreated	6.3	0.002001776	0.012532000992201198	0.024906950935533967	43.03528
Ecuador	4	37	Treated	2.54	0.002001776	0.005071606793600081	0.01011749239173132	43.03528
Ecuador	4	37	Controlled	0.95	0.002001776	0.0018998801385666786	0.0037961507325925403	43.03528
Ecuador	4	37	Remission	0.95	0.002001776	0.0018998801385666786	0.0037961507325925403	43.03528
Ecuador	5	39	Untreated	6.3	0.002189092	0.013696615582488136	0.02720563388656172	41.18956
Ecuador	5	39	Treated	2.54	0.002189092	0.005544863858455429	0.011058982201701983	41.18956
Ecuador	5	39	Controlled	0.95	0.002189092	0.002077476452397642	0.004150636996385071	41.18956
Ecuador	5	39	Remission	0.95	0.002189092	0.002077476452397642	0.004150636996385071	41.18956
Nigeria	1	31	Untreated	6.3	0.007352658	0.04526526873970749	0.08848159292533708	36.27506
Nigeria	1	31	Treated	2.54	0.007352658	0.018502440059339653	0.036662539830529806	36.27506
Nigeria	1	31	Controlled	0.95	0.007352658	0.006960686513692194	0.013872921870642485	36.27506
Nigeria	1	31	Remission	0.95	0.007352658	0.006960686513692194	0.013872921870642485	36.27506
