country	setting	severity	gap	daly_mean	daly_lo	daly_hi	cost_mean	cost_lo	cost_hi	yld_mean	yll_mean
Ecuador	LMIC	less_severe	0.2	2.7213299079475184	2.1904224119743256	3.2670381285509658	2450.115122742376	1963.2565179247044	2935.3696199170913	1.7430862813031904	0.978243626644328
Ecuador	LMIC	less_severe	0.30000000000000004	2.8417212228384643	2.280144478211074	3.4122460267715025	2181.993365259454	1735.6570250919526	2619.5873335659517	1.759097212790201	1.0826240100482636
Ecuador	LMIC	less_severe	0.4	2.96211253772941	2.366697683687732	3.562069006238894	1913.8716077765323	1519.7284680682976	2318.2048289974773	1.7751081442772112	1.187004393452199
Ecuador	LMIC	less_severe	0.5	3.0825038526203565	2.436589863128565	3.7271000584664016	1645.7498502936107	1293.5641338743444	2027.0027689027997	1.7911190757642217	1.2913847768561346
Ecuador	LMIC	less_severe	0.6000000000000001	3.202895167511303	2.510373148084152	3.9190149050321788	1377.6280928106887	1058.2704463413593	1737.1117562507966	1.8071300072512322	1.3957651602600705
Ecuador	LMIC	less_severe	0.7	3.3232864824022488	2.567084213069036	4.112655662723752	1109.5063353277671	823.4287730333583	1448.7296304706058	1.8231409387382427	1.5001455436640059
Ecuador	LMIC	less_severe	0.8	3.4436777972931947	2.6238262264584526	4.300648728170209	841.3845778448452	583.5322942380636	1176.7276995039836	1.8391518702252532	1.6045259270679415
Ecuador	LMIC	severe	0.2	3.0956276789244286	2.6131807870742754	3.581810534580046	2450.115122742376	1963.2565179247044	2935.3696199170913	2.1173840522801006	0.978243626644328
Ecuador	LMIC	severe	0.30000000000000004	3.4031678793038296	2.8894081124367927	3.9334674381882193	2181.993365259454	1735.6570250919526	2619.5873335659517	2.3205438692555664	1.0826240100482636
Ecuador	LMIC	severe	0.4	3.710708079683231	3.130314683048386	4.309106191843355	1913.8716077765323	1519.7284680682976	2318.2048289974773	2.523703686231032	1.187004393452199
Ecuador	LMIC	severe	0.5	4.018248280062632	3.3682391408476984	4.7000255064796645	1645.7498502936107	1293.5641338743444	2027.0027689027997	2.726863503206497	1.2913847768561346
Ecuador	LMIC	severe	0.6000000000000001	4.325788480442034	3.597291128994744	5.090106913308477	1377.6280928106887	1058.2704463413593	1737.1117562507966	2.930023320181963	1.3957651602600705
Ecuador	LMIC	severe	0.7	4.6333286808214345	3.7893136739422055	5.510798951588515	1109.5063353277671	823.4287730333583	1448.7296304706058	3.1331831371574284	1.5001455436640059
Ecuador	LMIC	severe	0.8	4.940868881200836	3.9794460961943394	5.919348328602333	841.3845778448452	583.5322942380636	1176.7276995039836	3.336342954132894	1.6045259270679415
Nigeria	LMIC	less_severe	0.2	4.998340154567789	4.1943479022848145	5.795988426640544	4200.77052154615	3360.0512707687417	5039.478107361121	1.6061102013290494	3.3922299532387394
Nigeria	LMIC	less_severe	0.30000000000000004	5.3117087886867225	4.378558773395412	6.200262639992451	3737.264900920159	2965.25668492521	4508.63889872384	1.6064697423090293	3.7052390463776934
