country	setting	severity	gap	p_benefit	p_ce_oc	p_ce_1x	p_ce_3x
Ecuador	LMIC	less_severe	0.2	1	0.773	0.944	0.992
Ecuador	LMIC	less_severe	0.30000000000000004	1	0.773	0.944	0.992
Ecuador	LMIC	less_severe	0.4	1	0.773	0.944	0.992
Ecuador	LMIC	less_severe	0.5	1	0.773	0.944	0.992
Ecuador	LMIC	less_severe	0.6000000000000001	1	0.773	0.944	0.992
Ecuador	LMIC	less_severe	0.7	1	0.773	0.944	0.992
Ecuador	LMIC	less_severe	0.8	0	0	0	0
Ecuador	LMIC	mixed	0.2	1	0.895	0.991	1
Ecuador	LMIC	mixed	0.30000000000000004	1	0.895	0.991	1
Ecuador	LMIC	mixed	0.4	1	0.895	0.991	1
Ecuador	LMIC	mixed	0.5	1	0.895	0.991	1
Ecuador	LMIC	mixed	0.6000000000000001	1	0.895	0.991	1
Ecuador	LMIC	mixed	0.7	1	0.895	0.991	1
Ecuador	LMIC	mixed	0.8	0	0	0	0
Ecuador	LMIC	severe	0.2	1	1	1	1
Ecuador	LMIC	severe	0.30000000000000004	1	1	1	1
Ecuador	LMIC	severe	0.4	1	1	1	1
Ecuador	LMIC	severe	0.5	1	1	1	1
Ecuador	LMIC	severe	0.6000000000000001	1	1	1	1
Ecuador	LMIC	severe	0.7	1	1	1	1
Ecuador	LMIC	severe	0.8	0	0	0	0
Nigeria	LMIC	less_severe	0.2	0.997	0.135	0.735	0.96
Nigeria	LMIC	less_severe	0.30000000000000004	0.997	0.135	0.735	0.96
Nigeria	LMIC	less_severe	0.4	0.997	0.135	0.735	0.96
Nigeria	LMIC	less_severe	0.5	0.997	0.135	0.735	0.96
Nigeria	LMIC	less_severe	0.6000000000000001	0.997	0.135	0.735	0.96
Nigeria	LMIC	less_severe	0.7	0.997	0.135	0.735	0.96
Nigeria	LMIC	less_severe	0.8	0	0	0	0
Nigeria	LMIC	mixed	0.2	0.999	0.18	0.779	0.976
Nigeria	LMIC	mixed	0.30000000000000004	0.999	0.18	0.779	0.976
Nigeria	LMIC	mixed	0.4	0.999	0.18	0.779	0.976
Nigeria	LMIC	mixed	0.5	0.999	0.18	0.779	0.976
Nigeria	LMIC	mixed	0.6000000000000001	0.999	0.18	0.779	0.976
Nigeria	LMIC	mixed	0.7	0.999	0.18	0.779	0.976
Nigeria	LMIC	mixed	0.8	0	0	0	0
Nigeria	LMIC	severe	0.2	1	0.538	0.968	1
Nigeria	LMIC	severe	0.30000000000000004	1	0.538	0.968	1
Nigeria	LMIC	severe	0.4	1	0.538	0.968	1
Nigeria	LMIC	severe	0.5	1	0.538	0.968	1
Nigeria	LMIC	severe	0.6000000000000001	1	0.538	0.968	1
Nigeria	LMIC	severe	0.7	1	0.538	0.968	1
Nigeria	LMIC	severe	0.8	0	0	0	0
UK	HIC	less_severe	0.025	1	0.843	0.993	1
UK	HIC	less_severe	0.05	1	0.843	0.993	1
UK	HIC	less_severe	0.07500000000000001	1	0.843	0.993	1
UK	HIC	less_severe	0.1	0	0	0	0
UK	HIC	mixed	0.025	1	0.977	1	1
UK	HIC	mixed	0.05	1	0.977	1	1
UK	HIC	mixed	0.07500000000000001	1	0.977	1	1
UK	HIC	mixed	0.1	0	0	0	0
UK	HIC	severe	0.025	1	1	1	1
UK	HIC	severe	0.05	1	1	1	1
UK	HIC	severe	0.07500000000000001	1	1	1	1
UK	HIC	severe	0.1	0	0	0	0
