param	label	low	high	inb_low	inb_high	icer_low	icer_high	swing
SMR, untreated	SMR assigned to untreated 2.0-10.0 (Carpio 95% CI)	2	10	-1746.0303331165455	1460.8615598238398	2633.0463677650637	662.9439511672351	3206.8918929403853
Untreated care cost, share of treated	Untreated care 0-100% of treated care cost (stress test)	0	1	-22.703378963481555	2269.7519903292023	1007.4298229204757	257.209449365726	2292.455369292684
Annual discount rate	Annual discount rate 0-6% (prespecified range)	0	0.06	1859.3474896025832	-285.18419061899385	643.6950884761361	1125.9655924033416	2144.531680221577
Annual health-care cost	Annual health-care cost 75-125% of base value (prespecified range)	490.9425	818.2375000000001	911.3339423986436	-498.24962646707036	701.7602611341644	1163.0553099958372	1409.583568865714
Disability weight, severe untreated	Disability weight, severe untreated 0.375-0.710 (GBD uncertainty interval)	0.375	0.71	-413.33379547805635	759.8777548252624	1169.6888651239517	789.4518418453486	1173.2115503033187
SMR, treated with continuing seizures	SMR treated with continuing seizures 1.84-3.44 (Mohanraj 95% CI)	1.84	3.44	499.30594958852316	-148.77264994988354	853.7643590563965	1056.812769944917	648.0785995384067
Spontaneous remission from untreated	Spontaneous remission 4.4-11.0% per cycle (prespecified range)	0.044	0.11	445.5867728114622	-160.34093803614132	864.2374814060164	1059.2062031191551	605.9277108476035
Cumulative 10-year seizure control	Cumulative 10-year seizure control 35-70% (prespecified range)	0.08254943738950193	0.2139969144033772	52.057768783438405	447.6674189847495	982.0053528875327	864.7723858353581	395.60965020131107
Case-finding and initiation cost	Case-finding and initiation cost US$0-150 per person (assumption)	0	150	236.54215796578728	146.54215796578728	922.5900977233451	952.0431612483114	90
SMR, seizure-free (controlled and remission)	SMR seizure-free, controlled and remission 0.68-1.29 (Mohanraj 95% CI)	0.68	1.29	223.26336089710048	185.8362881631533	927.4336075258553	938.6621989930907	37.42707273394717
