smr_U	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
2	Nigeria	0.9828852049483894	0.23324744842210224	1.6632208417606222	2739.0105850189734	2117.5439376289423	3341.370548782479	2786.704460733842	1511.8247588443417	10451.680839939501	0.994	-1756.1253800705842	-2700.5058030183213	-832.621524094136	0	0.156	0.925	severe
2	Nigeria	-0.11647391866253103	-0.4967868242683273	0.23619709468758962	2739.0105850189734	2117.5439376289423	3341.370548782479	-23516.085115629383	-147179.90496325947	192437.08960698202	0.283	-2855.4845036815045	-3519.7989499700357	-2139.4167973737412	0	0	0.001	less_severe
2	Nigeria	0.034138281272165116	-0.3463060515542916	0.39325343323676865	2739.0105850189734	2117.5439376289423	3341.370548782479	80232.82025191598	-231535.1195422807	271033.7681472262	0.573	-2704.8723037468085	-3396.3885257541992	-1974.679415776858	0	0	0.01	mixed
2	Ecuador	1.2149786080093135	0.5163459052052033	1.8311381853005173	1602.7487603881627	1240.4056475477994	1941.399014100534	1319.1580080691238	802.5993775474979	3095.8812493365417	1	2345.931715642106	80.31243809136902	4404.214620054806	0.977	0.999	1	severe
2	Ecuador	0.05690233156051152	-0.10892856620670237	0.23418599167207693	1602.7487603881627	1240.4056475477994	1941.399014100534	28166.662356950263	-266614.1669327496	259021.63147462852	0.728	-1417.8161828165003	-2081.9674679762315	-720.9085244329972	0	0.026	0.378	less_severe
2	Ecuador	0.21555878143399743	0.027088730386988266	0.400974344731312	1602.7487603881627	1240.4056475477994	1941.399014100534	7435.321120883739	3479.9688459977287	38777.58344648503	0.989	-902.1827207276712	-1628.7173772657704	-192.6496552401858	0.007	0.386	0.908	mixed
2	UK	0.1740863162052739	0.09472525662263305	0.25137395931789686	1298.0337370469435	1004.4875758699942	1582.556474676093	7456.265175468283	4698.433737506028	14020.078453250837	1	2967.0810099822675	1024.318356190632	4872.613059621877	1	1	1	severe
2	UK	0.02828735524840448	0.009353107831012553	0.04956942270747666	1298.0337370469435	1004.4875758699942	1582.556474676093	45887.4195077024	24896.35689217191	139822.3270822792	1	-604.9935334610336	-1141.933487450753	-18.491771692650573	0.022	0.558	0.979	less_severe
2	UK	0.048261812899495604	0.028280333700421004	0.0697564262268601	1298.0337370469435	1004.4875758699942	1582.556474676093	26895.668833453823	17465.525212236895	48127.48302695912	1	-115.6193210093013	-722.8941049093338	455.56307113010047	0.349	0.979	1	mixed
2.54	Nigeria	1.2663295270897896	0.5257762590260371	1.9415974085008756	2745.1056709708196	2124.690067734238	3346.557705979645	2167.765666239714	1316.6650889177736	5401.6782449714065	1	-1478.77614388103	-2418.592884313394	-555.9056807106176	0.001	0.388	0.982	severe
2.54	Nigeria	0.1863546343427163	-0.19705398094706805	0.5451422346171236	2745.1056709708196	2124.690067734238	3346.557705979645	14730.546845013907	-143691.85552076486	137593.47904167653	0.825	-2558.751036628103	-3219.567119699071	-1840.2027454101492	0	0	0.084	less_severe
2.54	Nigeria	0.3343111946490654	-0.05619268445951731	0.6957505964122543	2745.1056709708196	2124.690067734238	3346.557705979645	8211.228684257563	-45097.30305711097	51733.35570612732	0.948	-2410.7944763217542	-3100.9168287476286	-1688.1585049717385	0	0	0.277	mixed
2.54	Ecuador	1.3006880349502843	0.606795051404769	1.9150095218896013	1603.5525545253374	1241.4616167167642	1942.0160460329223	1232.8494700011825	764.7446932626094	2655.0657362392226	1	2623.6835590630867	361.6854738660561	4670.982974878781	0.993	0.999	1	severe
2.54	Ecuador	0.14733594097479732	-0.022547493429080866	0.32691987882780194	1603.5525545253374	1241.4616167167642	1942.0160460329223	10883.648238956403	-45266.856300500505	70691.31837875243	0.956	-1124.710746357246	-1791.516217492871	-425.1522841388104	0.001	0.152	0.763	less_severe
2.54	Ecuador	0.3053451778494391	0.11394264710869385	0.4942414454340552	1603.5525545253374	1241.4616167167642	1942.0160460329223	5251.605955657253	3034.628327443864	14063.084809033693	0.999	-611.1807265146605	-1350.4893782602264	98.59940327191492	0.046	0.728	0.991	mixed
