country	setting	severity	gap	cycle	state	prob	year	scenario
Ecuador	LMIC	less_severe	0.2	0	Untreated	0.2	0	bridged
Ecuador	LMIC	less_severe	0.2	0	Treated	0.8	0	bridged
Ecuador	LMIC	less_severe	0.2	0	Controlled	0	0	bridged
Ecuador	LMIC	less_severe	0.2	0	Remission	0	0	bridged
Ecuador	LMIC	less_severe	0.2	0	Death	0	0	bridged
Ecuador	LMIC	less_severe	0.2	1	Untreated	0.1815675814127318	2	bridged
Ecuador	LMIC	less_severe	0.2	1	Treated	0.6833212282522599	2	bridged
Ecuador	LMIC	less_severe	0.2	1	Controlled	0.10991491415522073	2	bridged
Ecuador	LMIC	less_severe	0.2	1	Remission	0.014503833104847066	2	bridged
Ecuador	LMIC	less_severe	0.2	1	Death	0.010692443074940501	2	bridged
Ecuador	LMIC	less_severe	0.2	2	Untreated	0.16468406198560964	4	bridged
Ecuador	LMIC	less_severe	0.2	2	Treated	0.5839445003314663	4	bridged
Ecuador	LMIC	less_severe	0.2	2	Controlled	0.2028086115584608	4	bridged
Ecuador	LMIC	less_severe	0.2	2	Remission	0.02757078588160069	4	bridged
Ecuador	LMIC	less_severe	0.2	2	Death	0.020992040242862667	4	bridged
Ecuador	LMIC	less_severe	0.2	3	Untreated	0.14923542545105606	6	bridged
Ecuador	LMIC	less_severe	0.2	3	Treated	0.49925691087556345	6	bridged
Ecuador	LMIC	less_severe	0.2	3	Controlled	0.28126554868694426	6	bridged
Ecuador	LMIC	less_severe	0.2	3	Remission	0.0393227654470502	6	bridged
Ecuador	LMIC	less_severe	0.2	3	Death	0.030919349539386135	6	bridged
Ecuador	LMIC	less_severe	0.2	4	Untreated	0.13496399492790717	8	bridged
Ecuador	LMIC	less_severe	0.2	4	Treated	0.4268429384540179	8	bridged
Ecuador	LMIC	less_severe	0.2	4	Controlled	0.3473858010570209	8	bridged
Ecuador	LMIC	less_severe	0.2	4	Remission	0.049853523570442634	8	bridged
Ecuador	LMIC	less_severe	0.2	4	Death	0.04095374199061146	8	bridged
Ecuador	LMIC	less_severe	0.2	5	Untreated	0.12181337191971257	10	bridged
Ecuador	LMIC	less_severe	0.2	5	Treated	0.36491983340242273	10	bridged
Ecuador	LMIC	less_severe	0.2	5	Controlled	0.402972577862066	10	bridged
