scenario	country	severity	daly_averted	yld_averted	yll_averted	incr_cost	icer	inb_oc	inb_lo	inb_hi	p_ce_oc	p_benefit
Base case	Nigeria	severe	2.845787797476249	0.9677332386425245	1.8780545588337247	2781.033723755944	977.2456422162849	64.75407372030537	-1488.6865614465505	1619.8591378207143	0.538	1
Base case	Nigeria	less_severe	1.8802118047136043	0.002157245879879696	1.8780545588337247	2781.033723755944	1479.106618086335	-900.8219190423395	-2503.2184619656414	537.5570010253042	0.135	0.997
Base case	Nigeria	mixed	2.012495715722087	0.13444115688836203	1.8780545588337247	2781.033723755944	1381.8830529823533	-768.5380080338571	-2358.5275211058483	679.1451443378677	0.18	0.999
Base case	Ecuador	severe	1.845241202276407	1.2189589018527935	0.6262823004236137	1608.7305448975308	871.8266982727778	4388.303362500792	1761.872203391902	6927.771773347657	1	1
Base case	Ecuador	less_severe	0.7223478893456764	0.09606558892206281	0.6262823004236137	1608.7305448975308	2227.0855478719063	738.9000954759177	-1084.3550151454576	2550.6051415200973	0.773	1
Base case	Ecuador	mixed	0.8761842732171866	0.24990197279357293	0.6262823004236137	1608.7305448975308	1836.0641637524145	1238.8683430583255	-543.5912824075833	3069.6935611704203	0.895	1
Base case	UK	severe	0.22078378156573059	0.17203250062611816	0.04875128093961243	1300.681584877715	5891.200774140572	4108.521063482685	2033.6296565487219	6277.479883701752	1	1
Base case	UK	less_severe	0.07736156046871505	0.02861027952910262	0.04875128093961243	1300.681584877715	16813.021570366458	594.6766466058035	-460.89532681477016	1685.7401339754877	0.843	1
Base case	UK	mixed	0.09701040475900617	0.04825912381939376	0.04875128093961243	1300.681584877715	13407.650324816972	1076.0733317179363	49.343750685844554	2185.515700385834	0.977	1
DW-RETAIN: treated keeps entry weight	Nigeria	severe	1.915162864484257	0.03710830565053226	1.8780545588337247	2781.033723755944	1452.113433968897	-865.8708592716869	-2370.371295963291	471.4412632241132	0.133	0.999
DW-RETAIN: treated keeps entry weight	Nigeria	less_severe	1.8802118047136043	0.002157245879879696	1.8780545588337247	2781.033723755944	1479.106618086335	-900.8219190423395	-2503.2184619656414	537.5570010253042	0.135	0.997
DW-RETAIN: treated keeps entry weight	Nigeria	mixed	1.8850000999021839	0.006945541068459091	1.8780545588337247	2781.033723755944	1475.3493773821322	-896.0336238537601	-2489.6815824710084	523.3679757562096	0.136	0.997
DW-RETAIN: treated keeps entry weight	Ecuador	severe	0.8540458224017363	0.22776352197812266	0.6262823004236137	1608.7305448975308	1883.6583502902456	1166.9183779081122	-720.2558277184006	3159.321407870261	0.873	1
DW-RETAIN: treated keeps entry weight	Ecuador	less_severe	0.7223478893456764	0.09606558892206281	0.6262823004236137	1608.7305448975308	2227.0855478719063	738.9000954759177	-1084.3550151454576	2550.6051415200973	0.773	1
DW-RETAIN: treated keeps entry weight	Ecuador	mixed	0.7403905061743566	0.11410820575074301	0.6262823004236137	1608.7305448975308	2172.8135780804923	797.5386001691284	-1036.895653050248	2613.652661079691	0.786	1
DW-RETAIN: treated keeps entry weight	UK	severe	0.1144528273837937	0.06570154644418126	0.04875128093961243	1300.681584877715	11364.346470150103	1503.4126860252304	315.882329577582	2853.6675611138503	0.992	1
DW-RETAIN: treated keeps entry weight	UK	less_severe	0.07736156046871505	0.02861027952910262	0.04875128093961243	1300.681584877715	16813.021570366458	594.6766466058035	-460.89532681477016	1685.7401339754877	0.843	1
DW-RETAIN: treated keeps entry weight	UK	mixed	0.08244306403608082	0.0336917830964684	0.04875128093961243	1300.681584877715	15776.725429667169	719.173484006265	-336.52058965099917	1852.9038256839751	0.891	1
SMR-SF1: seizure-free SMR = 1	Nigeria	severe	2.843715221053206	0.9677492653149322	1.875965955738274	2780.618173846138	977.8117559944349	63.097047207068606	-1492.5228942918436	1618.9590152770643	0.539	1
SMR-SF1: seizure-free SMR = 1	Nigeria	less_severe	1.8781392282905616	0.0021732725522874805	1.875965955738274	2780.618173846138	1480.5175952674133	-902.4789455555762	-2504.8992254523773	529.8372866983137	0.134	0.997
SMR-SF1: seizure-free SMR = 1	Nigeria	mixed	2.0104231392990437	0.13445718356076983	1.875965955738274	2780.618173846138	1383.1009599380313	-770.1950345470938	-2362.203496158649	681.8188321729696	0.177	0.999
SMR-SF1: seizure-free SMR = 1	Ecuador	severe	1.844686363176277	1.2189625370488322	0.6257238261274449	1608.675878808151	872.0592892757385	4386.554801514749	1756.2972382753578	6936.018238623141	1	1
SMR-SF1: seizure-free SMR = 1	Ecuador	less_severe	0.7217930502455463	0.09606922411810144	0.6257238261274449	1608.675878808151	2228.7217620908054	737.1515344898745	-1085.1553513375043	2527.710981159415	0.77	1
SMR-SF1: seizure-free SMR = 1	Ecuador	mixed	0.8756294341170564	0.24990560798961153	0.6257238261274449	1608.675878808151	1837.165147869046	1237.1197820722823	-549.8291298836768	3087.059231218491	0.896	1
SMR-SF1: seizure-free SMR = 1	UK	severe	0.22069864838946163	0.17203304679372786	0.04866560159573383	1300.6427903151598	5893.29748870934	4106.47409522665	2027.5516052365265	6258.294398146912	1	1
SMR-SF1: seizure-free SMR = 1	UK	less_severe	0.0772764272924461	0.028610825696712278	0.04866560159573383	1300.6427903151598	16831.041960480226	592.6296783497696	-460.75228246661754	1682.8666554440154	0.841	1
SMR-SF1: seizure-free SMR = 1	UK	mixed	0.09692527158273724	0.048259669987003415	0.04866560159573383	1300.6427903151598	13419.026525036936	1074.0263634619023	43.60661570691062	2189.6330828746864	0.977	1
SMR-NOMORT: no direct mortality benefit	Nigeria	severe	1.3480302289724053	1.0607350893360552	0.2872951396363502	2489.0603913052955	1846.4425632373914	-1141.0301623328903	-2023.5944259386736	-222.57637933517154	0.005	1
SMR-NOMORT: no direct mortality benefit	Nigeria	less_severe	0.38245423620976043	0.09515909657341029	0.2872951396363502	2489.0603913052955	6508.126085810037	-2106.606155095535	-2836.5270841528695	-1346.942732004635	0	0.997
SMR-NOMORT: no direct mortality benefit	Nigeria	mixed	0.5147381472182428	0.22744300758189265	0.2872951396363502	2489.0603913052955	4835.5856366129465	-1974.3222440870527	-2709.0486875287083	-1202.4901635223562	0	1
SMR-NOMORT: no direct mortality benefit	Ecuador	severe	1.3453189397363399	1.2435276563189968	0.10179128341734316	1567.1699518228015	1164.9058862799782	2805.116602320303	609.6476930220776	4927.290334710389	0.997	1
SMR-NOMORT: no direct mortality benefit	Ecuador	less_severe	0.22242562680560932	0.12063434338826615	0.10179128341734316	1567.1699518228015	7045.815602859658	-844.2866647045713	-1578.0727223413098	94.27461711570234	0.029	0.997
