country	age	residual_le	annuity_of_ex	lifetable_integral	ratio
Nigeria	31	36.27506	20.54467533091412	19.22621354739102	1.0685762581526104
Nigeria	33	34.77838	20.1129956930856	18.83105039181734	1.0680761441658775
Nigeria	35	33.2817	19.658100278699365	18.401119520363046	1.0683100154284264
Nigeria	37	31.79086	19.180660210074432	17.96938829639607	1.0674075207068288
Nigeria	39	30.30002	18.67764619066004	17.498779575352913	1.0673685047709023
Ecuador	31	48.5838	23.354158879716458	22.600899440964724	1.0333287372354054
Ecuador	33	46.7324	23.00489112375321	22.24118042868131	1.0343376871349441
Ecuador	35	44.881	22.632241796093687	21.85416128245859	1.0356033115880603
Ecuador	37	43.03528	22.235905255251136	21.44850894779409	1.0367110044513388
Ecuador	39	41.18956	21.81312020225548	21.011861814247194	1.0381336216224775
UK	31	51.0515	23.785860593689215	23.1739510198066	1.026405060292033
UK	33	49.1205	23.451247942622945	22.815793528716657	1.0278515149212972
UK	35	47.1895	23.093238773781902	22.431130935452103	1.0295173631786594
UK	37	45.2825	22.715118541699802	22.03387510376989	1.030918003969867
UK	39	43.375499999999995	22.31089937635854	21.60692682220309	1.03258087371463
